Family,Order,Suborder,Infraorder
Protoceratopsidae,Ornithischia,Cerapoda,Ceratopsia
Chaoyangsauridae,Ornithischia,Cerapoda,Ceratopsia
Leptoceratopsidae,Ornithischia,Cerapoda,Ceratopsia
Ceratopsidae,Ornithischia,Cerapoda,Ceratopsia
Pachycephalosauridae,Ornithischia,Cerapoda,Pachycephalosauria
Parksosauridae,Ornithischia,Cerapoda,Ornithopoda
Hypsilophodontidae,Ornithischia,Cerapoda,Ornithopoda
Iguanodontidae,Ornithischia,Cerapoda,Ornithopoda
Hadrosauridae,Ornithischia,Cerapoda,Ornithopoda
Dryosauridae,Ornithischia,Cerapoda,Ornithopoda
Rhabdodontidae,Ornithischia,Cerapoda,Ornithopoda
Ankylosauridae,Ornithischia,Thyreophora,Ankylosauria
Nodosauridae,Ornithischia,Thyreophora,Ankylosauria
Stegosauridae,Ornithischia,Thyreophora,Stegosauria
Jeholosauridae,Ornithischia,Cerapoda,Ornithopoda
Thescelosauridae,Ornithischia,Cerapoda,Ornithopoda
Fabrosauridae,Ornithischia,Basal Ornithischia,
Heterodontosauridae,Ornithischia,Basal Ornithischia,
Anchisauridae,Saurischia,Sauropodomorpha,Prosauropoda
Riojasauridae,Saurischia,Sauropodomorpha,Prosauropoda
Massospondylidae,Saurischia,Sauropodomorpha,Prosauropoda
Unaysauridae,Saurischia,Sauropodomorpha,Prosauropoda
Guaibasauridae,Saurischia,Sauropodomorpha,Prosauropoda
Plateosauridae,Saurischia,Sauropodomorpha,Prosauropoda
Saturnaliidae,Saurischia,Sauropodomorpha,Prosauropoda
Mamenchisauridae,Saurischia,Sauropodomorpha,Sauropoda
Dicraeosauridae,Saurischia,Sauropodomorpha,Sauropoda
Diplodocidae,Saurischia,Sauropodomorpha,Sauropoda
Rebbachisauridae,Saurischia,Sauropodomorpha,Sauropoda
Camarasauridae,Saurischia,Sauropodomorpha,Sauropoda
Euhelopodidae,Saurischia,Sauropodomorpha,Sauropoda
Saltasauridae,Saurischia,Sauropodomorpha,Sauropoda
Nemegtosauridae,Saurischia,Sauropodomorpha,Sauropoda
Gspsauridae,Saurischia,Sauropodomorpha,Sauropoda
Pakisauridae,Saurischia,Sauropodomorpha,Sauropoda
Balochisauridae,Saurischia,Sauropodomorpha,Sauropoda
Brachiosauridae,Saurischia,Sauropodomorpha,Sauropoda
Cetiosauridae,Saurischia,Sauropodomorpha,Sauropoda
Lessemsauridae,Saurischia,Sauropodomorpha,Sauropoda
Hesperornithidae,Saurischia,Therapoda,Tetanurae
Baptornithidae,Saurischia,Therapoda,Avialae
Brodavidae,Saurischia,Therapoda,Avialae
Yanornithidae,Saurischia,Therapoda,Avialae
Gargantuaviidae,Saurischia,Therapoda,Avialae
Hongshanornithidae,Saurischia,Therapoda,Avialae
Schizoouridae,Saurischia,Therapoda,Avialae
Alexornithidae,Saurischia,Therapoda,Avialae
Enantiornithidae,Saurischia,Therapoda,Avialae
Alethoalaornithidae,Saurischia,Therapoda,Avialae
Cathayornithidae,Saurischia,Therapoda,Avialae
Eoenantiornithidae,Saurischia,Therapoda,Avialae
Avisauridae,Saurischia,Therapoda,Avialae
Bohaiornithidae,Saurischia,Therapoda,Avialae
Longipterygidae,Saurischia,Therapoda,Avialae
Pengornithidae,Saurischia,Therapoda,Avialae
Confuciusornithidae,Saurischia,Therapoda,Avialae
Jinguofortisidae,Saurischia,Therapoda,Avialae
Torotigidae,Saurischia,Therapoda,Avialae
Tytthostonychidae,Saurischia,Therapoda,Avialae
Vegaviidae,Saurischia,Therapoda,Avialae
Presbyornithidae,Saurischia,Therapoda,Avialae
Praeornithidae,Saurischia,Therapoda,Avialae
Cimolopterygidae,Saurischia,Therapoda,Avialae
Graculavidae,Saurischia,Therapoda,Avialae
Mystiornithidae,Saurischia,Therapoda,Avialae
Omnivoropterygidae,Saurischia,Therapoda,Avialae
Yandangithidae,Saurischia,Therapoda,Avialae
Ignotornidae,Saurischia,Therapoda,Avialae
Dromaeosauridae,Saurischia,Therapoda,Tetanurae
Troodontidae,Saurischia,Therapoda,Tetanurae
Caenagnathidae,Saurischia,Therapoda,Tetanurae
Caudipterygidae,Saurischia,Therapoda,Tetanurae
Oviraptoridae,Saurischia,Therapoda,Tetanurae
Scansoriopterygidae,Saurischia,Therapoda,Tetanurae
Deinocheiridae,Saurischia,Therapoda,Tetanurae
Nqwebasauridae,Saurischia,Therapoda,Tetanurae
Ornithomimidae,Saurischia,Therapoda,Tetanurae
Therizinosauridae,Saurischia,Therapoda,Tetanurae
Megaraptoridae,Saurischia,Therapoda,Tetanurae
Alvarezsauridae,Saurischia,Therapoda,Tetanurae
Proceratosauridae,Saurischia,Therapoda,Tetanurae
Tyrannosauridae,Saurischia,Therapoda,Tetanurae
Compsognathidae,Saurischia,Therapoda,Tetanurae
Allosauridae,Saurischia,Therapoda,Tetanurae
Carcharodontosauridae,Saurischia,Therapoda,Tetanurae
Metriacanthosauridae,Saurischia,Therapoda,Tetanurae
Neovenatoridae,Saurischia,Therapoda,Tetanurae
Piatnitzkysauridae,Saurischia,Therapoda,Tetanurae
Spinosauridae,Saurischia,Therapoda,Tetanurae
Coelophysidae,Saurischia,Therapoda,Coelophysoidea
Vitakrisauridae,Saurischia,Therapoda,Ceratosauria
Abelisauridae,Saurischia,Therapoda,Ceratosauria
Ceratosauridae,Saurischia,Therapoda,Ceratosauria
Noasauridae,Saurischia,Therapoda,Ceratosauria
Herrerasauridae,Saurischia,Basal Saurischia,
Laevisoolithidae,Saurischia,Therapoda,Ceratosauria