Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,Max First Appearance (MYA),Min Last Appearance (MYA),Early Interval,Late Interval,Era
Ludodactylus sibbicki,Ludodactylus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Nurhachius ignaciobritoi,Nurhachius,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Nurhachius luei,Nurhachius,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Ornithocheirus simus,Ornithocheirus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,106.2,93.9,Albian,Cenomanian,Cretaceous
Ornithocheirus wiedenrothi,Ornithocheirus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,132.6,125.77,Hauterivian,Hauterivian,Cretaceous
Ornithodesmus cluniculus,Ornithodesmus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Piksi barbarulna,Piksi,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Dawndraco kanzai,Dawndraco,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Geosternbergia maiseyi,Geosternbergia,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Santanadactylus brasilensis,Santanadactylus,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Santanadactylus spixi,Santanadactylus,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tethydraco regalis,Tethydraco,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Volgadraco bogolubovi,Volgadraco,Pteranodontidae,Pteranodontidae,Pterosauria,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Alamodactylus byrdi,Alamodactylus,Pteranodontia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,89.8,86.3,Coniacian,Coniacian,Cretaceous
Pteranodon longiceps,Pteranodon,Pteranodontia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,21,86.3,72.1,Santonian,Campanian,Cretaceous
Pteranodon sternbergi,Pteranodon,Pteranodontia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Moganopterus zhuiana,Moganopterus,Moganopterinae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Boreopterus cuiae,Boreopterus,Boreopteridae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Boreopterus giganticus,Boreopterus,Boreopteridae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Zhenyuanopterus longirostris,Zhenyuanopterus,Boreopteridae,Boreopteridae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Jidapterus edentus,Jidapterus,Chaoyangopterinae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Aymberedactylus cearensis,Aymberedactylus,Tapejarinae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Caiuajara dobruskii,Caiuajara,Tapejarinae,Tapejaridae,Pterosauria,Reptilia,1,121.4,72.1,Aptian,Campanian,Cretaceous
Caupedactylus ybaka,Caupedactylus,Tapejarinae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Kariridraco dianae,Kariridraco,Thalassodrominae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Afrotapejara zouhri,Afrotapejara,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,2,106.2,93.9,Albian,Cenomanian,Cretaceous
Huaxiapterus benxiensis,Huaxiapterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Huaxiapterus corollatus,Huaxiapterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Huaxiapterus jii,Huaxiapterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Sinopterus dongi,Sinopterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,2,121.4,113.0,Aptian,Aptian,Cretaceous
Sinopterus gui,Sinopterus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Tapejara wellnhoferi,Tapejara,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupandactylus imperator,Tupandactylus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Tupandactylus navigans,Tupandactylus,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Wightia declivirostris,Wightia,Tapejaridae,Tapejaridae,Pterosauria,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Thalassodromeus sethi,Thalassodromeus,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupuxuara deliradamus,Tupuxuara,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupuxuara leonardii,Tupuxuara,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Tupuxuara longicristatus,Tupuxuara,Thalassodromidae,Thalassodromidae,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Apatorhamphus gyrostega,Apatorhamphus,Chaoyangopteridae,Chaoyangopteridae,Pterosauria,Reptilia,2,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Lacusovagus magnificens,Lacusovagus,Chaoyangopteridae,Chaoyangopteridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Shenzhoupterus chaoyangensis,Shenzhoupterus,Chaoyangopteridae,Chaoyangopteridae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Radiodactylus langstoni,Radiodactylus,Neoazhdarchia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,113.0,109.9,Albian,Albian,Cretaceous
Xericeps curvirostris,Xericeps,Neoazhdarchia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Keresdrakon vilsoni,Keresdrakon,Tapejaromorpha,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,72.1,Aptian,Campanian,Cretaceous
Quetzalcoatlus lawsoni,Quetzalcoatlus,Quetzalcoatlinae,Azhdarchidae,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Quetzalcoatlus northropi,Quetzalcoatlus,Quetzalcoatlinae,Azhdarchidae,Pterosauria,Reptilia,6,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Thanatosdrakon amaru,Thanatosdrakon,Quetzalcoatlinae,Azhdarchidae,Pterosauria,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Wellnhopterus brevirostris,Wellnhopterus,Quetzalcoatlinae,Azhdarchidae,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Aerotitan sudamericanus,Aerotitan,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Alanqa saharica,Alanqa,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,4,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Albadraco tharmisensis,Albadraco,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Aralazhdarcho bostobensis,Aralazhdarcho,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,86.3,72.1,Santonian,Campanian,Cretaceous
Arambourgiania philadelphiae,Arambourgiania,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Bakonydraco galaczi,Bakonydraco,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Bennettazhia oregonensis,Bennettazhia,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,2,113.0,100.5,Albian,Albian,Cretaceous
Bogolubovia orientalis,Bogolubovia,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Chaoyangopterus zhangi,Chaoyangopterus,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,2,121.4,113.0,Aptian,Aptian,Cretaceous
Cryodrakon boreas,Cryodrakon,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Eoazhdarcho liaoxiensis,Eoazhdarcho,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Eurazhdarcho langendorfensis,Eurazhdarcho,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Hatzegopteryx thambema,Hatzegopteryx,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Mistralazhdarcho maggii,Mistralazhdarcho,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Montanazhdarcho minor,Montanazhdarcho,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Navajodactylus boerei,Navajodactylus,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Phosphatodraco mauritanicus,Phosphatodraco,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Zhejiangopterus linhaiensis,Zhejiangopterus,Azhdarchidae,Azhdarchidae,Pterosauria,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Banguela oberlii,Banguela,Dsungaripteridae,Dsungaripteridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Domeykodactylus ceciliae,Domeykodactylus,Dsungaripteridae,Dsungaripteridae,Pterosauria,Reptilia,1,145.0,100.5,Berriasian,Albian,
Dsungaripterus weii,Dsungaripterus,Dsungaripteridae,Dsungaripteridae,Pterosauria,Reptilia,3,139.8,100.5,Valanginian,Albian,Cretaceous
Lonchognathosaurus acutirostris,Lonchognathosaurus,Dsungaripteridae,Dsungaripteridae,Pterosauria,Reptilia,1,119.5,100.5,Aptian,Albian,Cretaceous
Noripterus complicidens,Noripterus,Dsungaripteridae,Dsungaripteridae,Pterosauria,Reptilia,6,139.8,100.5,Valanginian,Albian,Cretaceous
Noripterus parvus,Noripterus,Dsungaripteridae,Dsungaripteridae,Pterosauria,Reptilia,2,139.8,121.4,Valanginian,Barremian,Cretaceous
Aurorazhdarcho primordius,Aurorazhdarcho,Protazhdarchidae,Protazhdarchidae,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Cretornis hlavaci,Cretornis,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Eopteranodon lii,Eopteranodon,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Europejara olcadesorum,Europejara,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Leptostomia begaaensis,Leptostomia,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Microtuban altivolans,Microtuban,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Nemicolopterus crypticus,Nemicolopterus,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Ornithostoma sedgwicki,Ornithostoma,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Vectidraco daisymorrisae,Vectidraco,Azhdarchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Iberodactylus andreui,Iberodactylus,Hamipteridae,Hamipteridae,Pterosauria,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Aussiedraco molnari,Aussiedraco,Pteranodontoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,109.9,100.5,Albian,Albian,Cretaceous
Cimoliopterus cuvieri,Cimoliopterus,Pteranodontoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
Cimoliopterus dunni,Cimoliopterus,Pteranodontoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Hamipterus tianshanensis,Hamipterus,Pteranodontoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,125.77,119.5,Barremian,Aptian,Cretaceous
Ikrandraco avatar,Ikrandraco,Pteranodontoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,121.4,113.0,Aptian,Aptian,Cretaceous
Linlongopterus jennyae,Linlongopterus,Pteranodontoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Lonchodraco giganteus,Lonchodraco,Lonchodraconidae,Lonchodraconidae,Pterosauria,Reptilia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
Aetodactylus halli,Aetodactylus,Ornithocheiridae,Ornithocheiridae,Pterosauria,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Arthurdactylus conandoylei,Arthurdactylus,Ornithocheiridae,Ornithocheiridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Barbosania gracilirostris,Barbosania,Ornithocheiridae,Ornithocheiridae,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Caulkicephalus trimicrodon,Caulkicephalus,Ornithocheiridae,Ornithocheiridae,Pterosauria,Reptilia,2,125.77,121.4,Barremian,Barremian,Cretaceous
Saraikisaurus minhui,Saraikisaurus,Saraikisaurinae,Saraikisauridae,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Tendaguripterus recki,Tendaguripterus,Tendaguripteridae,Tendaguripteridae,Pterosauria,Reptilia,1,152.2,149.2,Kimmeridgian,Kimmeridgian,Jurassic
Ardeadactylus longicollum,Ardeadactylus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,4,152.2,146.3,Kimmeridgian,Tithonian,Jurassic
Herbstosaurus pigmaeus,Herbstosaurus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,145.0,Tithonian,Tithonian,Jurassic
Kryptodrakon progenitor,Kryptodrakon,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Mesadactylus ornithosphyos,Mesadactylus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,152.2,146.3,Kimmeridgian,Tithonian,Jurassic
Ningchengopterus liuae,Ningchengopterus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Nyctosaurus bonneri,Nyctosaurus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Nyctosaurus gracilis,Nyctosaurus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,3,89.8,83.6,Coniacian,Santonian,Cretaceous
Nyctosaurus lamegoi,Nyctosaurus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Nyctosaurus nanus,Nyctosaurus,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Wenupteryx uzi,Wenupteryx,Pterodactyloidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,149.2,145.0,Tithonian,Tithonian,Jurassic
Fenghuangopterus lii,Fenghuangopterus,Scaphognathidae,Scaphognathidae,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Jianchangnathus robustus,Jianchangnathus,Scaphognathidae,Scaphognathidae,Pterosauria,Reptilia,3,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Rhamphinion jenkinsi,Rhamphinion,Rhamphorhynchoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,199.5,184.2,Sinemurian,Pliensbachian,Jurassic
Bergamodactylus wildi,Bergamodactylus,Campylognathoididae,Campylognathoididae,Pterosauria,Reptilia,1,216.7,213.2,Norian,Norian,Triassic
Campylognathoides liasicus,Campylognathoides,Campylognathoididae,Campylognathoididae,Pterosauria,Reptilia,8,184.2,182.9,Toarcian,Toarcian,Jurassic
Campylognathoides zitteli,Campylognathoides,Campylognathoididae,Campylognathoididae,Pterosauria,Reptilia,3,184.2,182.9,Toarcian,Toarcian,Jurassic
Eudimorphodon ranzii,Eudimorphodon,Campylognathoididae,Campylognathoididae,Pterosauria,Reptilia,3,216.7,208.5,Norian,Norian,Triassic
Eudimorphodon rosenfeldi,Eudimorphodon,Campylognathoididae,Campylognathoididae,Pterosauria,Reptilia,1,216.7,213.2,Norian,Norian,Triassic
Raeticodactylus filisurensis,Raeticodactylus,Campylognathoididae,Campylognathoididae,Pterosauria,Reptilia,1,213.2,201.4,Norian,Rhaetian,Triassic
Kunpengopterus antipollicatus,Kunpengopterus,Wukongopteridae,Wukongopteridae,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Kunpengopterus sinensis,Kunpengopterus,Wukongopteridae,Wukongopteridae,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Arcticodactylus cromptonellus,Arcticodactylus,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,227.0,208.5,Norian,Norian,Triassic
Austriadactylus cristatus,Austriadactylus,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,216.7,208.5,Norian,Norian,Triassic
Austriadraco dallavecchiai,Austriadraco,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,213.2,208.5,Norian,Norian,Triassic
Caviramus schesaplanensis,Caviramus,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,213.2,201.4,Norian,Rhaetian,Triassic
Daohugoupterus delicatus,Daohugoupterus,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,165.3,161.5,Callovian,Callovian,Jurassic
Preondactylus buffarinii,Preondactylus,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,216.7,208.5,Norian,Norian,Triassic
Samrukia nessovi,Samrukia,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,86.3,72.1,Santonian,Campanian,Cretaceous
Seazzadactylus venieri,Seazzadactylus,Pterosauria,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,227.0,208.5,Norian,Norian,Triassic
